"","GTEX.111VG.0526.SM.5N9BW","GTEX.117XS.0526.SM.5987Q","GTEX.11GSO.0626.SM.5A5LW","GTEX.11NV4.0626.SM.5N9BR","GTEX.132NY.1026.SM.5P9IY","GTEX.13NZ9.1126.SM.5MR37","GTEX.13O21.2226.SM.5MR3L","GTEX.13O3P.0726.SM.5J2OM","GTEX.14ABY.0926.SM.5Q5DY","GTEX.14AS3.0226.SM.5Q5B6","GTEX.14BMU.0226.SM.5S2QA","GTEX.PLZ4.1226.SM.2I5FE","GTEX.R55G.0726.SM.2TC6J","GTEX.WOFL.0726.SM.3MJG4","GTEX.WYBS.1926.SM.3NM8N","GTEX.YFC4.2626.SM.5P9FQ","GTEX.ZLWG.0526.SM.4WWFB","GTEX.ZPCL.0126.SM.4WWC8","GTEX.ZYY3.1926.SM.5GZXS","GTEX.ZZ64.0126.SM.5GZXA"
"ENSG00000223972",1,3,0,3,3,0,1,2,1,0,2,5,3,1,7,1,5,1,6,7
"ENSG00000227232",474,511,544,1301,781,1002,885,808,775,834,423,489,134,837,730,1472,1023,534,1003,732
"ENSG00000243485",1,1,0,1,0,1,1,1,2,1,0,1,1,1,0,1,4,3,1,1
"ENSG00000237613",0,4,3,0,2,0,0,4,0,1,0,3,2,0,1,0,3,0,2,1
"ENSG00000268020",1,0,0,0,1,0,0,1,0,0,2,2,1,0,1,0,1,2,0,0
"ENSG00000240361",1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,4,1,2
"ENSG00000186092",0,0,2,0,2,0,0,1,1,0,0,3,1,2,1,2,2,3,4,3
"ENSG00000238009",3,11,4,5,1,15,15,8,10,6,18,7,3,5,25,38,4,9,8,4
"ENSG00000233750",7,17,5,7,15,19,15,12,2,6,6,100,143,10,6,24,21,14,12,17
"ENSG00000237683",427,947,1129,1132,537,602,271,384,580,445,325,523,366,769,1565,2020,635,158,960,63
"ENSG00000268903",2,4,5,4,2,2,1,5,1,2,1,2,1,4,10,13,1,2,3,0
"ENSG00000239906",6,12,17,2,5,32,5,9,4,2,4,3,5,12,16,25,3,1,8,0
"ENSG00000241860",92,125,35,46,104,96,46,133,69,40,41,183,51,97,80,196,42,29,59,20
"ENSG00000222623",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241599",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
"ENSG00000228463",9,27,45,92,11,39,20,9,5,66,42,21,16,90,72,52,76,31,26,10
"ENSG00000237094",46,23,49,16,86,43,40,64,11,38,14,95,12,42,17,70,21,8,29,51
"ENSG00000250575",5,3,3,2,5,6,3,7,1,1,0,2,1,3,3,5,1,4,3,0
"ENSG00000233653",2,5,2,1,6,4,3,9,5,2,2,13,3,1,4,7,7,7,3,11
"ENSG00000224813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235249",2,2,0,0,1,0,1,0,1,0,0,5,1,1,2,3,0,3,1,0
"ENSG00000269732",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
"ENSG00000256186",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000236601",0,0,0,0,0,1,0,1,0,0,1,0,1,2,1,0,3,1,1,1
"ENSG00000236743",1,0,2,1,0,0,1,0,0,2,0,3,0,3,1,0,2,2,4,4
"ENSG00000236679",3,1,0,1,0,1,7,1,3,0,0,7,19,1,2,0,2,5,1,3
"ENSG00000231709",0,1,7,1,0,11,6,0,2,1,2,2,1,2,5,2,1,4,4,5
"ENSG00000235146",2,0,0,19,0,0,0,0,0,1,0,2,0,2,0,1,3,2,0,3
