"","GTEX.111VG.0526.SM.5N9BW","GTEX.11DXY.0426.SM.5H12R","GTEX.11EQ8.0826.SM.5N9FG","GTEX.11EQ9.0626.SM.5A5K1","GTEX.11NV4.0626.SM.5N9BR","GTEX.1211K.0726.SM.5FQUW","GTEX.131XF.1826.SM.5EGKG","GTEX.131YS.0726.SM.5P9G9","GTEX.13NZ9.1126.SM.5MR37","GTEX.14ABY.0926.SM.5Q5DY","GTEX.14AS3.0226.SM.5Q5B6","GTEX.14BMU.0226.SM.5S2QA","GTEX.PLZ4.1226.SM.2I5FE","GTEX.R55E.0826.SM.2TC5M","GTEX.R55G.0726.SM.2TC6J","GTEX.TKQ1.0126.SM.33HB3","GTEX.YFC4.2626.SM.5P9FQ","GTEX.YFCO.0326.SM.4W1ZP","GTEX.ZE7O.1126.SM.57WC8","GTEX.ZYY3.1926.SM.5GZXS"
"ENSG00000223972",1,0,1,6,3,3,5,1,0,1,0,2,5,3,3,8,1,7,1,6
"ENSG00000227232",474,663,802,640,1301,426,656,1487,1002,775,834,423,489,533,134,1388,1472,1000,713,1003
"ENSG00000243485",1,0,1,4,1,1,1,1,1,2,1,0,1,1,1,1,1,2,2,1
"ENSG00000237613",0,0,0,3,0,1,1,2,0,0,1,0,3,0,2,1,0,5,0,2
"ENSG00000268020",1,0,1,1,0,1,0,0,0,0,0,2,2,0,1,1,0,3,0,0
"ENSG00000240361",1,3,0,3,1,2,1,3,1,0,0,1,1,0,0,0,1,5,0,1
"ENSG00000186092",0,0,1,1,0,0,1,0,0,1,0,0,3,1,1,3,2,4,1,4
"ENSG00000238009",3,5,3,5,5,5,3,21,15,10,6,18,7,0,3,8,38,6,18,8
"ENSG00000233750",7,12,4,16,7,22,25,22,19,2,6,6,100,28,143,40,24,32,2,12
"ENSG00000237683",427,168,225,415,1132,316,719,2079,602,580,445,325,523,466,366,410,2020,652,511,960
"ENSG00000268903",2,0,0,0,4,3,3,5,2,1,2,1,2,1,1,2,13,2,4,3
"ENSG00000239906",6,0,5,4,2,14,3,44,32,4,2,4,3,1,5,23,25,9,8,8
"ENSG00000241860",92,19,93,66,46,26,59,109,96,69,40,41,183,35,51,190,196,61,70,59
"ENSG00000222623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241599",0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,3,0,1,1,0
"ENSG00000228463",9,57,22,18,92,36,62,85,39,5,66,42,21,43,16,29,52,55,7,26
"ENSG00000237094",46,36,22,26,16,48,20,14,43,11,38,14,95,16,12,100,70,62,63,29
"ENSG00000250575",5,0,6,1,2,4,2,3,6,1,1,0,2,1,1,2,5,5,1,3
"ENSG00000233653",2,5,3,7,1,6,4,5,4,5,2,2,13,8,3,17,7,12,5,3
"ENSG00000224813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235249",2,0,1,0,0,1,0,1,0,1,0,0,5,0,1,1,3,7,1,1
"ENSG00000269732",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"ENSG00000256186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236601",0,2,0,1,0,1,2,1,1,0,0,1,0,2,1,3,0,1,0,1
