"","GTEX.117XS.0526.SM.5987Q","GTEX.11DXY.0426.SM.5H12R","GTEX.11EQ8.0826.SM.5N9FG","GTEX.11EQ9.0626.SM.5A5K1","GTEX.11GSO.0626.SM.5A5LW","GTEX.1211K.0726.SM.5FQUW","GTEX.131XF.1826.SM.5EGKG","GTEX.131YS.0726.SM.5P9G9","GTEX.132NY.1026.SM.5P9IY","GTEX.13O21.2226.SM.5MR3L","GTEX.13O3P.0726.SM.5J2OM","GTEX.R55E.0826.SM.2TC5M","GTEX.TKQ1.0126.SM.33HB3","GTEX.WOFL.0726.SM.3MJG4","GTEX.WYBS.1926.SM.3NM8N","GTEX.YFCO.0326.SM.4W1ZP","GTEX.ZE7O.1126.SM.57WC8","GTEX.ZLWG.0526.SM.4WWFB","GTEX.ZPCL.0126.SM.4WWC8","GTEX.ZZ64.0126.SM.5GZXA"
"ENSG00000223972",3,0,1,6,0,3,5,1,3,1,2,3,8,1,7,7,1,5,1,7
"ENSG00000227232",511,663,802,640,544,426,656,1487,781,885,808,533,1388,837,730,1000,713,1023,534,732
"ENSG00000243485",1,0,1,4,0,1,1,1,0,1,1,1,1,1,0,2,2,4,3,1
"ENSG00000237613",4,0,0,3,3,1,1,2,2,0,4,0,1,0,1,5,0,3,0,1
"ENSG00000268020",0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,3,0,1,2,0
"ENSG00000240361",1,3,0,3,0,2,1,3,0,1,0,0,0,0,0,5,0,0,4,2
"ENSG00000186092",0,0,1,1,2,0,1,0,2,0,1,1,3,2,1,4,1,2,3,3
"ENSG00000238009",11,5,3,5,4,5,3,21,1,15,8,0,8,5,25,6,18,4,9,4
"ENSG00000233750",17,12,4,16,5,22,25,22,15,15,12,28,40,10,6,32,2,21,14,17
"ENSG00000237683",947,168,225,415,1129,316,719,2079,537,271,384,466,410,769,1565,652,511,635,158,63
"ENSG00000268903",4,0,0,0,5,3,3,5,2,1,5,1,2,4,10,2,4,1,2,0
"ENSG00000239906",12,0,5,4,17,14,3,44,5,5,9,1,23,12,16,9,8,3,1,0
"ENSG00000241860",125,19,93,66,35,26,59,109,104,46,133,35,190,97,80,61,70,42,29,20
"ENSG00000222623",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241599",0,0,0,1,0,0,1,1,0,0,0,1,3,0,0,1,1,0,0,1
"ENSG00000228463",27,57,22,18,45,36,62,85,11,20,9,43,29,90,72,55,7,76,31,10
"ENSG00000237094",23,36,22,26,49,48,20,14,86,40,64,16,100,42,17,62,63,21,8,51
"ENSG00000250575",3,0,6,1,3,4,2,3,5,3,7,1,2,3,3,5,1,1,4,0
"ENSG00000233653",5,5,3,7,2,6,4,5,6,3,9,8,17,1,4,12,5,7,7,11
"ENSG00000224813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235249",2,0,1,0,0,1,0,1,1,1,0,0,1,1,2,7,1,0,3,0
"ENSG00000269732",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0
"ENSG00000256186",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000236601",0,2,0,1,0,1,2,1,0,0,1,2,3,2,1,1,0,3,1,1
"ENSG00000236743",0,1,1,3,2,1,1,3,0,1,0,0,2,3,1,6,0,2,2,4
"ENSG00000236679",1,3,1,5,0,2,1,2,0,7,1,12,5,1,2,6,1,2,5,3
"ENSG00000231709",1,6,0,6,7,3,0,6,0,6,0,0,5,2,5,8,0,1,4,5
"ENSG00000235146",0,2,0,1,0,0,3,1,0,0,0,0,3,2,0,1,1,3,2,3
"ENSG00000239664",1,1,0,0,0,1,1,0,1,3,1,3,2,1,0,2,0,1,1,0
"ENSG00000230021",3,6,8,5,3,1,2,6,2,1,0,7,6,1,0,4,2,6,5,2
"ENSG00000223659",1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,6,0,1,0,1
"ENSG00000225972",55,59,45,137,33,98,16726,49,35,56,55,76,258,60,19,192,37,37289,57,73
"ENSG00000225630",9880,11972,4939,22629,6745,11291,8478,13137,13577,14188,6706,6664,26625,15829,10782,22596,6973,11562,12836,9712
"ENSG00000237973",517,780,297,3860,345,3170,99170,887,687,2635,811,376,4056,833,453,33288,347,242492,3738,12413
"ENSG00000229344",194,229,105,574,156,639,223,170,167,206,190,265,491,238,116,492,132,2493,260,288
"ENSG00000240409",60,66,17,136,46,86,124,44,43,32,60,52,132,30,23,69,26,218,103,114
"ENSG00000248527",20269,25187,9271,78315,24887,38607,58178,53867,57896,73952,24695,33250,63362,46221,31824,130067,7805,111725,38749,39069
"ENSG00000198744",323,235,114,809,187,290,806,327,192,1770,287,357,633,253,149,618,97,414,1813,291
"ENSG00000268663",0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,2,0,0,2
"ENSG00000185097",2,1,0,0,0,0,1,0,1,1,0,0,2,0,0,3,0,4,2,0
"ENSG00000229376",12,15,33,29,16,22,13,19,26,17,23,5,23,9,14,10,5,17,18,19
"ENSG00000224956",229,325,161,283,349,207,201,506,483,375,560,179,233,450,445,26,243,132,220,241
"ENSG00000235373",17,17,7,28,19,28,26,17,14,18,43,14,27,28,15,10,8,18,13,37
"ENSG00000223181",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000240618",4,4,5,8,4,14,8,5,1,6,5,1,15,7,2,0,0,0,2,3
"ENSG00000229905",3,0,0,0,2,2,0,1,0,0,1,0,1,0,0,2,1,0,1,0
"ENSG00000228327",113,87,88,110,114,231,93,126,163,225,163,44,177,135,81,47,56,110,67,150
"ENSG00000237491",64,221,134,175,97,174,117,196,242,159,102,92,245,227,170,277,64,118,98,96
"ENSG00000230092",13,16,12,18,15,17,16,36,21,29,10,13,47,16,11,10,15,10,13,18
"ENSG00000269831",0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0
"ENSG00000240453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177757",19,37,12,65,13,74,62,26,12,37,34,26,53,57,6,32,30,165,28,45
"ENSG00000225880",199,305,484,271,280,280,135,385,436,316,486,193,333,506,445,278,228,198,145,191
"ENSG00000228794",737,1412,802,1954,660,1115,1183,1227,951,1203,962,1088,2269,1347,1333,1156,897,1868,1154,1235
"ENSG00000230368",0,3,2,5,2,21,5,5,4,8,0,4,3,2,1,3,3,6,2,3
"ENSG00000234711",3,2,2,3,1,6,1,4,3,2,0,0,5,0,0,1,5,5,2,1
"ENSG00000269308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272438",2,7,10,8,2,0,1,3,2,6,2,3,8,25,3,0,2,7,1,3
"ENSG00000230699",6,34,79,58,4,10,24,75,11,47,12,13,16,229,49,5,18,36,13,32
"ENSG00000241180",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000223764",85,470,136,247,39,15,133,305,153,209,46,119,89,722,187,90,340,157,123,279
"ENSG00000187634",259,934,1025,700,21,28,414,535,255,291,114,581,294,947,208,166,761,574,481,537
"ENSG00000268179",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000188976",2772,3544,4008,4600,3353,3859,2598,4856,3840,3568,3474,3175,6868,4645,4298,3769,2414,4889,3994,3489
"ENSG00000187961",679,696,2090,1355,635,495,571,1220,1011,967,1303,601,1241,1513,992,1353,656,902,916,654
"ENSG00000187583",90,100,88,77,40,38,41,156,95,47,124,25,141,210,111,59,124,47,87,117
"ENSG00000187642",44,48,41,32,5,29,48,60,25,13,57,18,53,73,63,46,77,17,35,63
"ENSG00000272512",101,387,179,107,44,29,266,88,114,46,71,216,109,608,60,99,246,305,105,249
"ENSG00000188290",693,531,361,387,250,182,741,561,647,447,386,547,319,1067,463,528,736,1072,629,449
"ENSG00000231702",1,2,9,7,1,1,4,10,4,4,4,1,1,1,0,0,4,2,3,4
"ENSG00000224969",5,4,71,10,0,1,8,5,2,5,0,2,4,9,8,8,4,5,5,2
"ENSG00000187608",570,842,1158,663,367,235,317,1069,2832,586,416,1372,489,971,641,803,834,790,734,593
"ENSG00000188157",13127,11613,24997,18902,34637,13202,12121,22658,20678,17932,14858,16294,21067,13906,24988,25081,9206,21429,23181,22961
"ENSG00000217801",129,94,193,70,103,58,87,272,171,99,97,112,95,187,228,187,106,146,78,37
"ENSG00000273443",6,5,8,3,2,3,0,5,3,0,6,2,5,6,1,1,0,10,5,5
"ENSG00000237330",3,7,0,7,3,2,3,0,8,2,4,7,7,3,0,4,1,8,2,7
"ENSG00000131591",1124,1458,738,1699,1830,1106,863,1889,1777,1472,1237,880,1988,2286,2022,1846,993,1205,1234,1397
"ENSG00000223823",4,1,1,1,1,1,3,6,1,3,1,5,6,4,0,4,4,6,4,2
"ENSG00000207730",0,0,1,2,1,2,0,1,0,3,0,0,2,0,0,0,1,2,0,0
"ENSG00000207607",1,0,2,1,1,2,0,0,1,0,0,0,0,4,0,0,1,3,0,0
"ENSG00000198976",0,1,3,2,0,4,1,1,0,1,0,0,2,0,0,2,0,3,3,1
"ENSG00000272141",137,156,362,511,550,445,290,476,345,510,225,274,539,356,292,1006,156,646,312,120
"ENSG00000205231",14,10,6,8,7,16,4,15,3,17,4,2,9,23,5,9,8,9,18,5
"ENSG00000162571",40,32,30,16,47,53,19,56,29,42,25,12,25,49,33,44,31,23,33,29
"ENSG00000186891",40,57,174,22,5,20,151,265,28,28,35,36,16,30,434,39,138,24,33,8
"ENSG00000186827",162,167,222,95,159,187,131,421,611,248,237,365,733,427,191,132,239,170,339,123
"ENSG00000078808",6853,7539,10319,10552,10198,6571,6746,11418,8662,9521,6221,8221,11375,7583,12678,14737,7007,15149,12640,9739
"ENSG00000176022",576,898,766,1432,1265,1091,1064,1692,1334,1588,538,1491,1471,926,1403,2659,817,1889,2066,1412
"ENSG00000184163",29,34,46,66,36,105,37,64,64,34,38,47,120,80,55,93,83,66,69,50
"ENSG00000260179",5,14,36,46,14,49,25,15,16,28,35,3,96,50,11,40,10,25,30,35
"ENSG00000160087",1585,1785,4746,3557,2150,2452,2208,2714,2873,3106,2477,1845,4670,2871,3557,4872,1664,3693,4037,2762
"ENSG00000230415",97,69,53,95,116,40,35,169,99,73,97,38,74,75,78,67,40,94,31,28
"ENSG00000162572",1071,881,1220,755,1686,404,436,1757,1124,972,1004,865,1258,1130,994,943,826,762,404,337
